symbol,code,date,shareholding,shareholding_percent,close
600597.SH,600597,2021-03-01,"12,806,291",1.04,18.090
600598.SH,600598,2021-03-01,"27,846,061",1.56,17.140
600600.SH,600600,2021-03-01,"23,401,542",3.36,79.190
600601.SH,600601,2021-03-01,"1,715,472",0.07,3.520
600604.SH,600604,2021-03-01,"253,708",0.01,6.160
600606.SH,600606,2021-03-01,"250,391,673",2.05,5.690
600611.SH,600611,2021-03-01,"12,327,695",0.78,3.650
600612.SH,600612,2021-03-01,"2,599,964",0.81,51.310
600613.SH,600613,2021-03-01,"398,145",0.08,4.390
600614.SH,600614,2021-03-01,"749,936",0.04,0.740
600616.SH,600616,2021-03-01,"4,941",0.00,6.450
600617.SH,600617,2021-03-01,"133,104",0.01,3.870
600618.SH,600618,2021-03-01,"3,200",0.00,8.460
600620.SH,600620,2021-03-01,"6,095",0.00,6.330
600621.SH,600621,2021-03-01,"3,694,446",0.34,17.580
600622.SH,600622,2021-03-01,"12,532,787",0.83,3.290
600623.SH,600623,2021-03-01,"1,501,602",0.08,8.050
600624.SH,600624,2021-03-01,"106,136",0.01,7.150
600626.SH,600626,2021-03-01,"10,445,152",1.29,3.810
600628.SH,600628,2021-03-01,"331,057",0.05,8.210
600629.SH,600629,2021-03-01,41,0.00,7.060
600633.SH,600633,2021-03-01,"443,443",0.03,7.610
600634.SH,600634,2021-03-01,"7,096",0.00,0.820
600635.SH,600635,2021-03-01,"11,867,050",0.49,3.660
600636.SH,600636,2021-03-01,"42,878",0.00,11.900
600637.SH,600637,2021-03-01,"66,250,837",1.94,9.050
600638.SH,600638,2021-03-01,"379,117",0.05,5.820
600639.SH,600639,2021-03-01,"10,739,989",1.26,12.140
600640.SH,600640,2021-03-01,"34,045",0.00,11.070
600641.SH,600641,2021-03-01,"27,207,129",2.84,14.330
600642.SH,600642,2021-03-01,"68,218,135",1.49,5.220
600643.SH,600643,2021-03-01,"29,387,058",1.81,7.040
600645.SH,600645,2021-03-01,"350,101",0.08,18.550
600648.SH,600648,2021-03-01,"5,492,688",0.58,14.000
600649.SH,600649,2021-03-01,"2,553,380",0.10,4.870
600650.SH,600650,2021-03-01,"337,569",0.08,10.220
600651.SH,600651,2021-03-01,"67,298",0.00,3.390
600654.SH,600654,2021-03-01,"227,831",0.03,1.580
600655.SH,600655,2021-03-01,"60,854,510",3.79,10.200
600657.SH,600657,2021-03-01,"24,857,584",1.63,3.960
600658.SH,600658,2021-03-01,91,0.00,5.120
600660.SH,600660,2021-03-01,"164,020,890",8.18,49.570
600661.SH,600661,2021-03-01,"47,676",0.01,14.730
600662.SH,600662,2021-03-01,"513,013",0.04,8.590
600663.SH,600663,2021-03-01,"9,006,691",0.30,10.610
600664.SH,600664,2021-03-01,"5,183,875",0.20,2.720
600666.SH,600666,2021-03-01,"750,907",0.09,1.200
600667.SH,600667,2021-03-01,"67,369,185",3.19,9.190
600668.SH,600668,2021-03-01,"1,343,883",0.39,13.710
600673.SH,600673,2021-03-01,"48,901,792",1.98,5.080
600674.SH,600674,2021-03-01,"146,801,500",3.33,10.600
600675.SH,600675,2021-03-01,"27,355,119",1.22,3.380
600676.SH,600676,2021-03-01,"714,398",0.06,4.450
600677.SH,600677,2021-03-01,"4,800",0.00,3.010
600681.SH,600681,2021-03-01,"9,375,764",0.65,5.200
