symbol,code,date,shareholding,shareholding_percent
600459.SH,600459,2021-02-04,"3,106,877",0.70
600460.SH,600460,2021-02-04,"34,322,428",2.61
600466.SH,600466,2021-02-04,"33,189,753",1.09
600467.SH,600467,2021-02-04,"34,900",0.00
600468.SH,600468,2021-02-04,"673,979",0.06
600469.SH,600469,2021-02-04,300,0.00
600470.SH,600470,2021-02-04,100,0.00
600477.SH,600477,2021-02-04,"8,466,220",0.39
600478.SH,600478,2021-02-04,"21,935",0.00
600479.SH,600479,2021-02-04,"393,122",0.09
600480.SH,600480,2021-02-04,"584,532",0.07
600481.SH,600481,2021-02-04,"1,477,577",0.09
600482.SH,600482,2021-02-04,"1,680,403",0.19
600483.SH,600483,2021-02-04,"7,575,924",0.48
600485.SH,600485,2021-02-04,"628,734",0.03
600486.SH,600486,2021-02-04,"6,476,068",2.08
600487.SH,600487,2021-02-04,"39,403,515",2.06
600488.SH,600488,2021-02-04,"2,630",0.00
600489.SH,600489,2021-02-04,"62,297,256",1.80
600490.SH,600490,2021-02-04,"2,324,317",0.13
600491.SH,600491,2021-02-04,"9,251,685",0.60
600495.SH,600495,2021-02-04,"644,310",0.05
600496.SH,600496,2021-02-04,"1,356,225",0.08
600497.SH,600497,2021-02-04,"3,896,485",0.07
600498.SH,600498,2021-02-04,"23,857,933",2.10
600499.SH,600499,2021-02-04,"1,091,883",0.06
600500.SH,600500,2021-02-04,"6,788,422",0.25
600501.SH,600501,2021-02-04,"674,361",0.16
600502.SH,600502,2021-02-04,"8,485,360",0.49
600503.SH,600503,2021-02-04,"1,424,449",0.08
600507.SH,600507,2021-02-04,"162,056,291",7.51
600508.SH,600508,2021-02-04,100,0.00
600509.SH,600509,2021-02-04,"8,725",0.00
600510.SH,600510,2021-02-04,"1,830,966",0.17
600511.SH,600511,2021-02-04,"13,413,792",2.42
600513.SH,600513,2021-02-04,"48,781",0.01
600516.SH,600516,2021-02-04,"91,547,885",2.40
600517.SH,600517,2021-02-04,"1,166,824",0.06
600518.SH,600518,2021-02-04,"1,362,239",0.03
600519.SH,600519,2021-02-04,"100,877,344",8.03
600521.SH,600521,2021-02-04,"23,564,656",1.62
600522.SH,600522,2021-02-04,"85,251,030",2.78
600523.SH,600523,2021-02-04,"9,280",0.00
600525.SH,600525,2021-02-04,"1,965,654",0.15
600526.SH,600526,2021-02-04,"1,343,592",0.24
600527.SH,600527,2021-02-04,"3,481,754",0.20
600528.SH,600528,2021-02-04,"1,665,884",0.07
600529.SH,600529,2021-02-04,"35,626,719",5.98
600531.SH,600531,2021-02-04,"7,950,217",0.72
600532.SH,600532,2021-02-04,"37,201",0.00
600535.SH,600535,2021-02-04,"2,995,938",0.19
600536.SH,600536,2021-02-04,"11,723,825",2.37
600537.SH,600537,2021-02-04,"626,291",0.05
600545.SH,600545,2021-02-04,"3,936,612",0.20
600546.SH,600546,2021-02-04,"12,098",0.00
600547.SH,600547,2021-02-04,"67,224,076",1.90
600548.SH,600548,2021-02-04,"6,689,452",0.46
600549.SH,600549,2021-02-04,"38,040,505",2.70
600551.SH,600551,2021-02-04,"247,978",0.04
600552.SH,600552,2021-02-04,"1,705,654",0.22
600556.SH,600556,2021-02-04,"1,829,264",0.52
600557.SH,600557,2021-02-04,"7,390,316",1.24
600559.SH,600559,2021-02-04,"7,245,553",0.82
600561.SH,600561,2021-02-04,"11,900",0.00
600562.SH,600562,2021-02-04,"2,062,658",0.31
600563.SH,600563,2021-02-04,"7,094,413",3.15
600565.SH,600565,2021-02-04,"25,703,359",1.06
600566.SH,600566,2021-02-04,"16,800,147",2.06
600567.SH,600567,2021-02-04,"87,539,477",1.90
600568.SH,600568,2021-02-04,"506,541",0.03
600570.SH,600570,2021-02-04,"84,207,576",8.06
600571.SH,600571,2021-02-04,"674,245",0.15
600572.SH,600572,2021-02-04,"11,431,903",0.42
600577.SH,600577,2021-02-04,"26,143,179",1.36
600578.SH,600578,2021-02-04,"4,743,956",0.07
600580.SH,600580,2021-02-04,"22,797,037",1.74
600582.SH,600582,2021-02-04,"159,150,419",3.84
600583.SH,600583,2021-02-04,"81,832,988",1.85
